Country,Clicks,Impressions,CTR,Position
United States,606911,11188329,5.42%,25.74
India,81915,2940833,2.79%,20.69
United Kingdom,54091,1631169,3.32%,25.83
Canada,49303,1045549,4.72%,18.81
Australia,29253,689882,4.24%,19.32
Brazil,24500,1029850,2.38%,47.46
Germany,21059,581845,3.62%,30.52
Netherlands,15830,605167,2.62%,15.76
Japan,14739,362409,4.07%,32.49
Mexico,13290,313265,4.24%,31.3
Philippines,12574,521632,2.41%,22.97
Italy,11508,273752,4.2%,30.13
France,10919,328446,3.32%,28.68
Nigeria,10919,194561,5.61%,11.21
Spain,10421,242917,4.29%,28.62
Bangladesh,8199,236625,3.46%,22.08
Israel,8013,100243,7.99%,24.4
Hong Kong,7981,147130,5.42%,20.94
Indonesia,7231,370542,1.95%,33.28
Poland,7055,232179,3.04%,27.8
Switzerland,6932,114179,6.07%,21.15
Singapore,6802,206996,3.29%,23.45
Vietnam,6377,505560,1.26%,35.08
Thailand,6295,225101,2.8%,19.78
Turkey,6270,271154,2.31%,34.11
Pakistan,5610,278002,2.02%,25.27
South Africa,5319,184407,2.88%,25.93
Colombia,4998,136416,3.66%,32.91
Portugal,4916,79777,6.16%,23.79
South Korea,4865,658242,0.74%,49.76
Austria,4752,69435,6.84%,22.19
Saudi Arabia,4727,146650,3.22%,29.68
Malaysia,4664,252125,1.85%,30.07
Egypt,4254,155425,2.74%,29.01
Taiwan,4194,222957,1.88%,36.07
Sweden,3873,136355,2.84%,25.31
Ireland,3786,102054,3.71%,21.67
United Arab Emirates,3771,146877,2.57%,20.17
Belgium,3689,85360,4.32%,22.02
Romania,3574,123645,2.89%,32.3
Argentina,3555,178208,1.99%,43.09
China,3483,64591,5.39%,13.94
Ukraine,3392,161521,2.1%,46.96
New Zealand,3254,97802,3.33%,17.91
Chile,3200,87251,3.67%,32.17
Hungary,3010,70640,4.26%,26.63
Denmark,2789,75341,3.7%,22.17
Czechia,2679,83195,3.22%,26.97
Norway,2618,72682,3.6%,22.19
Peru,2557,89243,2.87%,33.19
Iran,2549,81583,3.12%,24.27
Greece,2548,76163,3.35%,21.38
Russia,2501,673205,0.37%,52.42
Costa Rica,2469,29227,8.45%,23.43
Cambodia,2191,930452,0.24%,7.38
Croatia,2107,35167,5.99%,18.92
Kenya,2071,92846,2.23%,25.28
Morocco,1999,69697,2.87%,33.19
Bulgaria,1823,57296,3.18%,31.69
Finland,1773,73684,2.41%,22.26
Serbia,1736,49607,3.5%,33.43
Ecuador,1550,49147,3.15%,38.9
Dominican Republic,1520,37195,4.09%,37.02
Slovenia,1430,25487,5.61%,21.32
Kuwait,1404,24497,5.73%,27.38
Guatemala,1363,24718,5.51%,24.99
Jordan,1323,34217,3.87%,34.57
Slovakia,1254,31617,3.97%,24.95
Ghana,1206,28546,4.22%,18.36
Nepal,1140,45442,2.51%,34.41
Unknown Region,1109,54418,2.04%,36.05
Cyprus,1102,22039,5%,25.44
Iraq,1078,65620,1.64%,46.3
El Salvador,1021,16407,6.22%,27.32
Tunisia,1020,28678,3.56%,32.86
Sri Lanka,1001,34332,2.92%,25.47
Algeria,998,48793,2.05%,35.95
