Date,Clicks,Impressions,CTR,Position
2024-11-02,2839,200601,1.42%,43.83
2024-11-01,6251,253879,2.46%,39.68
2024-10-31,7644,214907,3.56%,33.38
2024-10-30,8257,215957,3.82%,31.21
2024-10-29,8760,230940,3.79%,31.6
2024-10-28,9145,240608,3.8%,32.14
2024-10-27,3726,189838,1.96%,39.65
2024-10-26,3154,189978,1.66%,42.8
2024-10-25,6992,231629,3.02%,34.28
2024-10-24,9087,247326,3.67%,32.14
2024-10-23,9880,256461,3.85%,34.1
2024-10-22,9849,282936,3.48%,35.86
2024-10-21,9597,273636,3.51%,35.59
2024-10-20,3836,191934,2%,40.34
2024-10-19,2934,182372,1.61%,40.64
2024-10-18,6823,227418,3%,33.56
2024-10-17,8267,235726,3.51%,30.86
2024-10-16,9030,232739,3.88%,30.02
2024-10-15,9009,213577,4.22%,28.96
2024-10-14,8401,219481,3.83%,30.58
2024-10-13,3706,163975,2.26%,35.44
2024-10-12,2848,142296,2%,35.22
2024-10-11,6711,182463,3.68%,31.17
2024-10-10,8345,196927,4.24%,27.3
2024-10-09,8730,203745,4.28%,27.13
2024-10-08,9097,226967,4.01%,28.39
2024-10-07,9234,222743,4.15%,28.54
2024-10-06,3694,163741,2.26%,35.93
2024-10-05,2896,149921,1.93%,37.59
2024-10-04,6994,195022,3.59%,31.01
2024-10-03,8322,200957,4.14%,28.94
2024-10-02,8636,215220,4.01%,30.43
2024-10-01,9067,210384,4.31%,29.11
2024-09-30,9457,202863,4.66%,26.22
2024-09-29,3761,149754,2.51%,34.28
2024-09-28,2851,140049,2.04%,34.68
2024-09-27,6648,179052,3.71%,28.76
2024-09-26,8821,197004,4.48%,26.02
2024-09-25,9142,200063,4.57%,25.45
2024-09-24,9526,207939,4.58%,27.3
2024-09-23,9269,218357,4.24%,28.2
2024-09-22,4034,139527,2.89%,32.74
2024-09-21,3344,186655,1.79%,40
2024-09-20,7376,178125,4.14%,26.66
2024-09-19,8556,188169,4.55%,25.71
2024-09-18,8865,192900,4.6%,26.71
2024-09-17,9231,184681,5%,25.12
2024-09-16,9178,200406,4.58%,26.13
2024-09-15,3601,142389,2.53%,33.55
2024-09-14,2714,137163,1.98%,34.52
2024-09-13,6541,170876,3.83%,27.84
2024-09-12,8091,181424,4.46%,25.11
2024-09-11,8611,191612,4.49%,25.34
2024-09-10,8868,207634,4.27%,26.97
2024-09-09,9289,199124,4.66%,23.29
2024-09-08,3661,147964,2.47%,28.76
2024-09-07,2656,173258,1.53%,25.09
2024-09-06,6891,192718,3.58%,24.18
2024-09-05,8597,192754,4.46%,23.8
2024-09-04,9023,198679,4.54%,25.52
2024-09-03,9530,202143,4.71%,25.65
2024-09-02,5395,174039,3.1%,29.1
2024-09-01,3159,132262,2.39%,28.81
