Top queries,Clicks,Impressions,CTR,Position
duo,82836,2235819,3.7%,3.63
duo security,80059,239078,33.49%,1.01
duo mobile,78374,496358,15.79%,2.17
duo admin,30988,60934,50.86%,1.21
duo login,21858,63671,34.33%,1.43
cisco duo,19005,71047,26.75%,1.52
duo mobile login,14344,32863,43.65%,1.17
duo admin login,14254,44713,31.88%,1.91
2fa,11410,2079590,0.55%,7.48
duo desktop,8144,14411,56.51%,1.01
duo authentication,6945,26051,26.66%,1.02
duo app,6893,133560,5.16%,3.07
duo mobile app,6361,88321,7.2%,2.79
2fa authentication,6160,56199,10.96%,2.62
duo security login,5804,13932,41.66%,1.01
duo push,4884,15331,31.86%,1.12
duo mfa,4770,18527,25.75%,1.01
duomobile,4334,18272,23.72%,2.02
duo desktop download,3776,5583,67.63%,1
duo win login,3760,7730,48.64%,1
duo admin panel,3586,6908,51.91%,1.25
duo admin portal,3414,10996,31.05%,1.8
cisco duo login,3191,7089,45.01%,1.31
duo cisco,3130,8308,37.67%,1.54
duo support,3015,4749,63.49%,1.08
duo security careers,2562,3243,79%,1.01
duo 2fa,2384,6989,34.11%,1.04
duosecurity,2315,6650,34.81%,1.02
duo passport,2297,3255,70.57%,1.22
duo sso,2058,5141,40.03%,1.03
duoadmin,1913,3336,57.34%,1.19
duo authentication proxy,1891,4048,46.71%,1.02
two factor authentication,1811,327032,0.55%,6.5
duo pricing,1563,4978,31.4%,1.08
duo central,1512,2888,52.35%,1.03
duo push login,1490,2645,56.33%,1
duo mobile pc,1447,2352,61.52%,1.07
duo mobile download,1433,6539,21.91%,2.28
duo api,1429,2598,55%,1.11
duo network gateway,1403,2406,58.31%,1.05
duo admin console,1373,2635,52.11%,1.13
duo auth proxy,1333,2337,57.04%,1.03
duo security download,1267,3119,40.62%,1.38
duo enrollment,1234,5493,22.46%,2.01
duo authenticator,1233,5933,20.78%,1.23
bluetooth hack,1199,7132,16.81%,4.98
admin duo,1197,2796,42.81%,1.46
duo admin api,1196,1865,64.13%,1
duo download,1151,7739,14.87%,2.77
duo sign in,1127,2651,42.51%,1.12
duo authentication proxy download,1087,1608,67.6%,1
duo win,1081,3622,29.85%,1.23
duo free,1054,2481,42.48%,1.08
download duo desktop,1015,1582,64.16%,1.02
duo rdp download,992,1684,58.91%,1.01
duo rdp,969,1904,50.89%,1.05
duo authentication for windows logon,956,1889,50.61%,1.03
duo token,944,4711,20.04%,1.06
duo vpn,942,2732,34.48%,1.11
duo desktop app,931,1699,54.8%,1.02
duo passwordless,923,2046,45.11%,1
cisco duo admin,918,3175,28.91%,1.58
cisco duo pricing,910,2334,38.99%,1.06
duo mobile app download,897,6856,13.08%,2.45
proxy,896,102586,0.87%,24.07
duo.com,896,3947,22.7%,1
duo log in,893,3848,23.21%,3.09
duo self service portal,892,1568,56.89%,1
duo eam,891,1395,63.87%,1.02
duo portal,874,3558,24.56%,1.59
duo proxy,860,1742,49.37%,1.04
duosecurity.com,827,1668,49.58%,1
duo mobile admin,825,1540,53.57%,1.06
duosec,811,4264,19.02%,1.14
cisco duo mfa,784,2886,27.17%,1.1
duo device management portal,781,1749,44.65%,1.03
duo downloads,772,1375,56.15%,1.02
duo for mac,769,1359,56.59%,1.05
duopush,765,2075,36.87%,1.07
duo security app,764,4985,15.33%,2.28
duosecurity.com login,754,1769,42.62%,2.05
duo login admin,750,2120,35.38%,1.78
duo authentication for windows logon download,747,1079,69.23%,1
duo proxy download,740,1020,72.55%,1
duo verified push,724,1362,53.16%,1
duo trusted endpoints,723,1128,64.1%,1.02
duo two factor authentication,717,4155,17.26%,1.04
duo auth proxy download,717,995,72.06%,1
duo yubikey,714,1561,45.74%,1.09
duo account,711,4938,14.4%,2.2
duo installer,696,1727,40.3%,1.59
duo for windows download,693,1105,62.71%,1
what is duo,689,17730,3.89%,1.94
duo mobile support,688,1009,68.19%,1.01
duowin login,680,2827,24.05%,1.61
duo authentication app,675,6067,11.13%,2.53
duo radius,675,1159,58.24%,1.02
duo enrollment portal,641,1075,59.63%,1
duo windows installer,637,1043,61.07%,1
duo win login download,634,1385,45.78%,1
2fa auth,621,41990,1.48%,7.65
duo careers,619,1278,48.44%,1.25
duo app download,601,17214,3.49%,2.99
duo security jobs,592,970,61.03%,1.14
duo windows logon,583,953,61.18%,1
dui win login,572,41454,1.38%,4.56
2 factor authentication,568,101177,0.56%,8.43
download duo,565,8106,6.97%,2.38
duo access gateway,565,1288,43.87%,1.05
2fa authenticator,556,31561,1.76%,8.75
duo it help desk,554,1591,34.82%,1
cve-2024-4577,540,13510,4%,11.37
duo licensing,532,1543,34.48%,1
duo windows login,531,949,55.95%,1
duo app for pc,526,1340,39.25%,1.03
acme duo mobile,522,942,55.41%,1.02
duo hardware token,521,3432,15.18%,2.24
duo multi factor authentication,511,2874,17.78%,1.05
duo mobile for pc,497,792,62.75%,1.11
duo mobile help,497,756,65.74%,1
duo download windows,487,849,57.36%,1.02
duo desktop app download,482,809,59.58%,1
cisco duo download,481,1173,41.01%,1.17
duo mobile para pc,477,745,64.03%,1.29
duo essentials,476,1144,41.61%,1.02
cloudmapper,470,4350,10.8%,2.4
acme duo,469,786,59.67%,1.1
duo mobile sign in,464,689,67.34%,1
dou mobile,459,3099,14.81%,2.18
cisco duo mobile,456,2237,20.38%,2.02
download duo for windows,451,778,57.97%,1
duo security admin,447,829,53.92%,1.04
duo dng,446,669,66.67%,1.02
duo for windows,438,1097,39.93%,1.13
duo desktop authenticator,438,839,52.21%,1.02
duo risk based authentication,437,578,75.61%,1
duo saml,432,915,47.21%,1.08
cisco duo support,425,822,51.7%,1.05
duo auth api,425,710,59.86%,1
duo mobile log in,420,591,71.07%,1
duo unix,417,697,59.83%,1
ransomware sql database,416,861,48.32%,11.14
duo login portal,408,797,51.19%,1.55
